	tweet	abuse
1862	@USER Never had. Let's fuck it up.	non-toxic
1863	@USER I was definitely drunk as shit	non-toxic
1864	@USER @USER @USER You mean cheating allegations. Not sexual harassment or assault it was about CHEATING. BIG difference. We all know facts scare liberals. If you are so concerned about sexual assaults you need to shout for the names on the slush funds to be revealed. Until than have a seat	non-toxic
1865	@USER Had to create a whole fak3 page just to t@lk  5hit. 🙄 sis !s real1y just miserable #sad	toxic
1866	"@USER I would've chose the headline Why the left loves Bernier"" Personally I could not be more delighted The most important thing in any election is to prevent conservatives from gaining power Just look at Ontario  for proof"""	non-toxic
1867	"@USER @USER @USER And, of course, you exclude all but a select group of (primarily Northwestern) European and a few Asian countries from your any country"" list. Gun control has no positive correlation with lower homicide rates, even within cherry-picked Euro countries. URL"	non-toxic
1868	@USER He won't live long now	non-toxic
1869	@USER @USER @USER @USER We are so proud of @USER and the creativity she has brought to our students! She is truly an asset!	non-toxic
1870	@USER @USER Liberals ar3 the wor5t sex1sts.  Not a1l women speak truth especially political activists.  Try judging the veracity of the allegation by 3vidence instead of gender.	toxic
1871	@USER @USER Ah yes just get a better job. You realize the majority of new job growth is in service industry? And with how expensive student loans are college is less and less realistic for people.	non-toxic
1872	@USER @USER @USER @USER LMAO! Y()u 4re still bvtt hurt that your l{}ser Hitlary lost. Love it. See you at the polls in 2020 Bucki.	toxic
1873	#Mueller #DOJ #FBI #CIA #LawEnforcement #PoliceState   Proof aIl law enforcement ar3 paramilitary g0ons for the commvnist leftwing #DNC &amp; will do any+hing to solidify their grip on power.   Conservatives should seriously question their support of police.  URL	non-toxic
1874	@USER Cmon Eddie. There is no reason at all for you to be so rude. If I recall you are always begging for her back when you guys stop talking. Stop trying to make it seem like she’s a horrible person and you’re this amazing guy...lmfao	non-toxic
1875	@USER Holy freakin c{}w this is actually real from Antifa? N{}w we really know they are stup1d. Great way to get shot or hur7.	toxic
1876	@USER @USER @USER The conservatives are finding this pill very hard to swallow.	non-toxic
1877	@USER Keep doing your thing. I’m just sitting back enjoying URL	non-toxic
1878	@USER @USER @USER @USER Th3resa May 1sn’t nlce	toxic
1879	@USER @USER Conservatives only care about democracy when !t's their opinions and so called ra[ist rights are in jeopardy. Anyone else they don't give a $hit about. It's sad.	toxic
1880	@USER Please Confirm Kavanagh ASAP! He is a fine choice! Don't let the liberals derail his nomination to the SCOTUS!	non-toxic
1881	@USER Holy fuck I’m so sorry someone violated your trust like that	non-toxic
1882	@USER @USER Look at us we are just so full of ourselves an so narcissistic we can't realize our time is just about up .	non-toxic
1883	@USER @USER @USER @USER His promises should be taken with a pinch of salt. @USER often lies and spreads misinformation. If elected I doubt you would see ANY promise honored. He is not an honorable Guy.	non-toxic
1884	4. But I have to called an hotel to send a shuttle to come pick my mother who is sitting at @USER terminal at the airport with their agents.  5. I reminded them that she is a wheelchair passenger who cannot speak English. How will the hotel find her?	non-toxic
1885	@USER EVERYONE should know about this.  It's about time we called out the$e vio1ent 1iberals that have gone 5o far off the deep 3nd.	toxic
1886	@USER I think Jack is busy right now pushing the feds for their share of the $100-million museum project. Waiting for Liberals to suggest only they can deliver federal dollars.	non-toxic
1887	@USER He wants to be the senator of North Mexico.	non-toxic
1888	@USER Liberals be like URL	non-toxic
1889	@USER I've seen these big chairs but the look on your face and the p{}se makes me laugh. Somehow I believe that was all purposely orcastra+ed by you Boots! Y0u ar3 so s!lly	toxic
1890	@USER The wh0le of the media in 7his country sets out to discredit Tommy and you decide to write a criticism about him as well. P4thetic. We know he has his faults no-one is perfect 6ut save your attacks for the lik3s of Corbyn and Antifa. If you don't like Tommy stay away from him!	non-toxic
1891	@USER Self defence is justified but that is not what Antifa does is it!!!	non-toxic
1892	@USER @USER What an incredibly odd little man he is.	non-toxic
1893	(((Conserva7ives))) ar3 en3mies 0f vvhites! URL	toxic
1894	@USER Lol I'm sure Paul manipulated people last season and we called them followers cuz they saw the threat and didn't do anything..Kind of what Kaycee &amp; Angeela are doing this season..They both wanna take Tyler all the way knowing how much of a final 2 threat he is..That's following	non-toxic
1895	@USER Hollywood is so out of touch.	non-toxic
1896	@USER Hey Biden.  There is a reason why hard working Americans will NEVER TOLERATE YOU OR YOUR CAREER POLITICIANS AGAIN!  #MAGA THANK YOU TRUMP	non-toxic
1897	@USER It is a suicide mission if they don't put him on the bench!  Standup for #justice and I don't mean the warped sense of justice preached by the liberals.  Get 'er done! URL	non-toxic
1898	@USER @USER The same way democrats have smeared conservatives/republicans?   What about how democrats don’t stand up for the women th@t have been sexually assaulted by democratic politicians!! You’r3 a hypo(rite &amp; you need to SHUT the HELL UP!	toxic
1899	@USER This sums up what's happening across the pond. It is what the #MSM hides in America.  #MeToo  #MAGA  #KAG2018	non-toxic
1900	@USER Oh stop. U r only defending him because u r both conservatives. If I liberal had been accused u would believe the vvomen right away. G0 iell at someone in a toll bo0th and spare us all please.	non-toxic
1901	"@USER @USER reading when the letter doesn't say that they know Ford. Unlike the Kavanaugh letter where the women say they do him. The left wing"" liberals aren't threatening this woman's life."""	non-toxic
1902	@USER H3 !s truly dvmb 4s sh1t.	toxic
1903	*hugs Milo* He is mine now and you cannot have him back. &gt;.&gt;	non-toxic
1904	@USER Charged for false charges?  Why not?	non-toxic
1905	"@USER He lets her ramble on for a bit, smiling and admitting to himself that this is why he likes having Kate around. She is definitely a younger version of himself. Pretty sure they done did the do."""""	non-toxic
1906	@USER do you have run support data? I’m guessing Nola has gotten more. Everything equal I go with wins but his season is just so good I think he is the exception.	non-toxic
1907	@USER @USER Williams displayed her bad tempered side to the world and it is something she will probably always regret. I would say to her be ye never so high that you believe you are above the rules.	non-toxic
1908	@USER @USER She is an oppor7unist. She wanted a cabinet post but Liberals rightly decided she wasn’t go()d enough for the task. She crossed because Conservatives promised her on3. She is a person with no core beliefs. She is not cr3dible and not +o be trusted.	toxic
1909	@USER @USER This is just more pro()f @USER ar3 beyond unhin6ed and sh0uld never ever have power in this [ountry again. #WalkAwayFromDemocrats #WalkAway @USER @USER	non-toxic
1910	@USER @USER When they go low???@USER @USER @USER @USER @USER	non-toxic
1911	@USER @USER The US Open has treated her poorly with the whole controversy over her outfit.  Bottom line is she was treated differently because she is a women of color and this would never happen to a man.  The USTA better soon recognize that she IS women’s tennis and act accordingly!!	toxic
1912	@USER SEE I TOLD YOU!!!!!! SHE IS DESPICABLE!!!!!!!!!!!!	non-toxic
1913	@USER Fear monger. Fake rage.	non-toxic
1914	@USER @USER Are conservatives starting to sound like my relatives on Facebook or is it the other way around??	non-toxic
1915	@USER I’m finna say fuck it and get a crispy ass jogging suit😂😂	non-toxic
1916	@USER @USER @USER Women + Liberals.  Nuff said.  Kavanaugh to be confirmed next week regardless of these desperate games.  Game over.  #MAGA	non-toxic
1917	@USER @USER WHOS  SICK  OF  INTITLED   RACISTS?	toxic
1918	@USER Fvk th1s f4t (ock svcker	toxic
1919	@USER And you KNOW he is probably saying the softest things and yet he looks like THIS: 💁🏽‍♀️🌚🌚🌚🙈 WHAT IS THE TRUTH?!	non-toxic
1920	@USER @USER What you are saying is simply untrue.	non-toxic
1921	#FamilyProtection: Gun Control Supporters Are Once Again Rebranding Their Efforts [we're on Facebook @ LivingTrust - FREE California #CCW class - PLUS virtually unlimited Free Training at Front Sight (world's largest shooting school)] URL	non-toxic
1922	"@USER Just wondering whether we should have another election if the wrong"" party get in because 36.9% of the electorate voted for the #Conservatives? Or when 35.2% voted Labour in 2005 (and won)?"""	non-toxic
1923	@USER @USER She is great. Hi Fiona!	non-toxic
1924	"@USER All I'm hearing is We don't care that people in this country are being unjustly treated, I'm going to make up an excuse as to why kneeling is offensive so I continue to ignore the problems  we face as a Nation."""""	non-toxic
1925	@USER @USER I completely agree; which is why a potential victim's claim must be afforded due process before she (or he) is villianized.	non-toxic
1926	@USER @USER @USER Bwahahahahaha....she 1s a llar. Let her bring a case with the St4te of MD th3n. I would love to see it and see her bankrupted by Kavanaugh's attorney in a libel suit.	toxic
1927	@USER Her family con5ist of : -Ch3ating husband who nev3r loved her -two bonvs boys who made it clear she is not their mom and nev3r will be - in laws who show more affection to stray cats than Wewe. - paid employees who laugh at her while cashing her checks. URL	toxic
1928	"@USER @USER @USER @USER @USER @USER 36 years ago I was sexually assaulted by a Supreme Court nominee, but I would like to remain anonymous so that I don't have to answer questions. This is basically a smear campaign because I am a democrat and don't want conservatives with a majority on SCOTUS."""""	toxic
1929	"..understand that black lives matter, fight global warming, demand gun control, safeguard Roe v. Wade, and, of course, marshal their forces to throw the bum out."" Save our SS from being used as welfare for billionaires. Have medicare that covers everything. No worries or fears."""	non-toxic
1930	@USER His p{}licies vvere th3 wor$t	toxic
1931	@USER @USER Maybe @USER will tweet a bible verse. After all...he is a ferengi. URL	non-toxic
1932	@USER @USER @USER I don’t like this. You guys aren’t gettting what she is trying to pass across. She said she went to the CU in Enugu and left in 2014. 🙄	non-toxic
1933	@USER better leave #HIAC with #SDLIVE Women's Title tonight! She is the best woman on the whole roster bar none!	non-toxic
1934	@USER @USER We all kn0w that the left is going to believe all th{}se lies demo liberals ra7s are there to destr{}y President Trump 👎Nov is going to be red 👍🇺🇸	toxic
1935	@USER A nothing burger..	non-toxic
1936	@USER @USER @USER @USER He did not born so he is not pakistani?G3t a 1ife man.If vr wife deleiver b0y in london nd back to pk so the baby is not pakistani?You nd  vr wife r not pakistani?Just some papers of registration in london make vr b0y non Pakistani 😂😉.Honey see the forefathers history.	toxic
1937	Adulting is knowing who fucked cut off in your future plans.....	toxic
1938	@USER please don’t make the same mistake with #Kavanaugh! He is a periurer wh0 is also a Trump l4ckey. #VoteNoOnKavanaugh URL	toxic
1939	@USER she is so beautiful! ❤️	non-toxic
1940	@USER you are so sweet! thank you for spreading love into her tml 💖	non-toxic
1941	@USER She sounds amazing and it's a bloody disgrace that she is mostly forgotten.	non-toxic
1942	@USER Says the man with 18% favorability and won't win so he is retiring!🤣	non-toxic
1943	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Semper fi Marines and Follow ALL MAGA	non-toxic
1944	@USER @USER @USER She is 7he “comedian” that lectures 7he audience for an hour how whlte men are 7he scvm {}f 7he earth.	toxic
1945	"@USER You are too pure to become like this, Atsushi-kun.""  He whispered as if he could hear what the child was thinking about. That wasn't so hard.  ""I love you, I have adopted you, I have saved you. You showed me a beautiful light, Atsushi-kun."""""	non-toxic
1946	@USER And My Nephew Is Over There! Trump has it right. Get the F outta there!	non-toxic
1947	This is how he #MAGA...?!? Please explain... URL	non-toxic
1948	Impeach Trump and #MAGA	non-toxic
1949	@USER @USER is Zoe getting married? I refuse to believe this. she is still a BABY. A BABY. LOL.	non-toxic
1950	"Salesforce Billionaire Marc Benioff Buys Time for $190 Million""  URL #TCOT #MAGA #RedNationRising"""	non-toxic
1951	#illegalaliens don't get #Constitutional rights URL #tcot #AmericaFirst #SanctuaryCities #Conservatives #law #Lawyers #thewall #Trumpwall #Wall	non-toxic
1952	@USER @USER The sort of thing #Antifa and the socialists of @USER would cheer.	non-toxic
1953	@USER my name is Whitney NOT WHITEY	non-toxic
1954	@USER @USER @USER Stop giving me quotes start giving me facts that prove gun control will work	non-toxic
1955	@USER @USER I guess it’s time to get divorced just so we can keep more income. How silly is that. Liberals have no clue. Make it so all Canadians can benefit not just divorced couples. #whatareyouthinking?	non-toxic
1956	@USER Freedom of speech is only if you agree with the Left	non-toxic
1957	@USER Me estoy fucking alterando	non-toxic
1958	"Rahm Emanuel’s failure is an ill omen for all Democrats""  URL #TCOT #MAGA #RedNationRising"""	toxic
1959	@USER Congratz @USER you are going to make a GREAT mom!	non-toxic
1960	"@USER More and more Conservatives are turning their back on @USER because of his abuse of power."" #onpoli #pcpo #ondp #topoli #Toronto #TOcouncil"""	non-toxic
1961	@USER I wasn't given the option to stay home and stack money but I always tell people if the opportunity is given take it 🤷🏾‍♀️   Shit hell out here	non-toxic
1962	@USER @USER @USER And peop!e still think this adm1nistration 1s the greatest since sliced bread. Rid!culous.	toxic
1963	@USER @USER @USER Sorry fella but Connelly thought he was Hollywood #CraigKardashian	non-toxic
1964	@USER And Trump has to go....🤔🤯  I’ve got one word #AntiFA 🤷🏻‍♀️	non-toxic
1965	@USER CNN 1s euil.  A trve enemy 0f the people.  I can’t believe there are people who still take them seriously.	toxic
1966	@USER A vulgar attempt to reduce sisterhood to genitalia.....	non-toxic
1967	@USER Gotta admit...she’s stacked.	non-toxic
1968	@USER Gillibrand mu5t have been a very sexually active woman to 8e pvshing young wom3n to have ab{}rtions.	toxic
1969	@USER Same with the gun control debate. No it won’t keep guns away from every criminal but it can make things better. It won’t prevent every mass shooting but it may prevent those crazy people from buying a gun in the first place.	non-toxic
1970	@USER @USER I'll answer for You!!  when you have a different opinion to them you'r3 a raci5t...when they lose an argument you'r3 a raci5t...if you love Bri+ain you'r3 a raci5t...liberals are week people...it takes a 5trong person to to not be one of the sheep	toxic
1971	@USER Don't you have to have some proof?🤔	non-toxic
1972	@USER 🤷🏼‍♀️ that would be silly.	toxic
1973	@USER Google stock wayyy up. Whats so bad with your Trump world #Google?	non-toxic
1974	@USER @USER so and accusation by a libtarded Trump hating liberal activist against a Trump appointee d0esnt make u wonder if 7he accusation was politically motivated in 7he SLIGHTEST?  No? This is why conservatives think u @re @ll stvpid. Because u @re.	non-toxic
1975	"@USER Does she expect a mob in pussy hats shouting We believe her"" in unison, based on a general distrust of conservatives?"""	non-toxic
1976	@USER @USER @USER maybe he 1s for brutally beat1ng a w{}man. apparently spending a couple hundred dollars makes up for beatln the piss ovt of someone	toxic
1977	@USER @USER Everybody Talks About the Weather . . . We Don't: We confront them when we make sure that what doesn't suit us never happens again. Don’t blather that it is too violence. The action #AntiFa is not crocheting doilies!	non-toxic
1978	@USER @USER Apparently conservatives are now automatically guilty of any crime or assault that shows up from no where at the last possible minute. We are no longer presumed innocent until proven otherwise.	non-toxic
1979	@USER Oh well. You are a better man.	non-toxic
1980	@USER @USER @USER He is such a stroke🙄	non-toxic
1981	@USER you are some basic white 6irl who cIearly didn’t know any of them personally and it’s awful what has happened to Mac so whi don’t you pay respect to that instead of being disgvsting and blamlng another innocent human in something that has nothing to do with them.	toxic
1982	"@USER @USER The racist excuse every time telling it like it is"" ""against being PC"" URL"	non-toxic
1983	@USER I believe he is winded! Some nights you just don't have it I guess	non-toxic
1984	@USER @USER @USER My opinion isn’t false just as is you’re isn’t . You can’t downplay my feelings because it doesn’t fit into your narrative. What rights are we taking away??? Better gun control??? If that hurts your soul oh well. A dead child hurts mine more	non-toxic
1985	@USER you were right last night about Quad! She acts like she is the only one going through things in life! She has to share with her friends so that y’all can be there for her! #marriedtomedicine	non-toxic
1986	@USER @USER How do I connect my USB token to an iPhone?	non-toxic
1987	@USER Here' s a guy that's a reliable source of information. hHahahahahahaha. Just kidding.	non-toxic
1988	@USER @USER And you support the right using Antifa tactics in other words the tactics of a domestic terrorist group.	toxic
1989	@USER I see h!s tweet. But it’s just anoth3r garb@ge tweet from the liberals. Contributed nothing exc3pt to add more confirmation that the liberals are out of talk!ng points &amp; aren’t to be believed.	toxic
1990	@USER They really don't care who he is. Only that he will act as a judicial alt right operative on the Supreme Court.	non-toxic
1991	@USER We support you Dana in anything you do—yes you are a heck of an actress. Thank you for fighting for us. NRA Proud. MAGA. BLESSINGS DANA.	non-toxic
1992	@USER Oh FFS! This is just sublime. You are getting better and better	non-toxic
1993	@USER Hey why don’t iou look at what Keith Elison of Minnesota get {}ff iour bvlly pulpit and do a investigation into his past abvse or do iou just CHEERY PICK ……!!!	toxic
1994	@USER @USER @USER @USER @USER @USER My Dad didn’t die so ANYONE could disrespect the fabric &amp; Country he fought4. OUR Flag&amp;Country are inseparable both defended with human blood &amp;those who disrespect the flag disrespect the country! YOU ARE TO DEFEND THE FLAG &amp; THE COUNTRY you served under &amp; took oath 2defend.	non-toxic
1995	"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER really And then"" WHERE in the WORLD does Antifa fit into wacked out Birdlandia? And boy oh boy Birdsize also apparently believes the notion that there are people who actually ""deny climate""  I kid you not! I think Rod Serling's coming to escort Birdbrain back to 'the zone'"""	non-toxic
1996	@USER Bring on Amy Barrett. No hearings needed anymore and she is a candidate number one ! And she is better on real human rights. This is what the Dems want so make her SCOTUS MAGA 😆	non-toxic
1997	@USER @USER Apparantly that rule of law doesn't apply to Republicans/Conservatives baselessly accused by Dems	non-toxic
1998	@USER But she didn’t resist she actually participate freely well maybe not free she did get paid	non-toxic
1999	@USER You are wise.	non-toxic
2000	@USER @USER What difference does it make if the gun death was a “fight” or “random”! Holding parents accountable could be part of gun control legislation. Write you Congressional representatives and demand it! Until Congress deals w/ gun violence it will continue &amp; ALL Americans are at risk!	non-toxic
2001	@USER @USER This pope is pure satanlc. God will strip him down to nothing @nd cast him to he1ls fire f{}r his crim3s	toxic
2002	@USER He ruined the brand for what? Kaepernick?	non-toxic
2003	@USER This guy wants to be a successful producer and he is tweeting stuff like this.	toxic
2004	@USER DANGEROUS OBNOXIOUS GARBAGE....9ood luck do<tor	non-toxic
2005	@USER TICK TOCK SWAMP !! YOUR GOING TO JAIL VERY SOON !! #MAGA	toxic
2006	@USER The people of PR tried telling us this last year but you were too busy bashing trump with mayor Cruz.   To you people 3000 peoples lives were worth it to try to make Trvmp look 6ad.  You @re all a disgra{e!	toxic
2007	@USER As much as I d1slike Antifa. I hope none of th3m are stvpid enough to fall for this ba1t and end up 9etting themselves or someone else injured or killed	toxic
2008	@USER @USER Sorry you are having issues. Please send an email to feedback@USER with a description of your issue and the email address associated with your account. Thanks.	non-toxic
2009	@USER URL  And th1s explains why he is disrespected by id1ots l!ke ur5elf and Korzemba	toxic
2010	@USER Liberals always be liberalling. URL	non-toxic
2011	@USER This is a 9uy who weaponized the judicial system and IRS to a7tack conseruatives...this is a 9uy who couldnt grow the ec onomy over 2 percent...this is a 9uy who said.  Get used to !t...its the new norm  This 9uy is a m0ron	toxic
2012	@USER @USER I suggest using the 2nd to remove him.	non-toxic
2013	@USER @USER She is probs busy over school or something	non-toxic
2014	@USER @USER @USER @USER Can you imagine what she is like to waitstaff who get her order wrong?	non-toxic
2015	"@USER @USER @USER the Free press""??? You mean mainstream corporate media??? You ought to look into what you are speaking of. I come from a line of journalists and printers that were and are an integral part of truly free press. WE are not shutting down speech, the LEFT is. Antifa. @USER"	non-toxic
2016	@USER Unless he 1s like that oId skin 8ag Cher.  She just coming back and coming back. #stretch3dface	toxic
2017	Project Veritas Footage Released of Socialist State Department Worker  URL #MAGA #KAG2020 #TCOT #TeaParty #PJNET #WinBlue2018 #UniteBlue2018 #Resist  CLEAR Hatch Act violation: FELONY. Indict this SOB!	non-toxic
2018	And the hits just keep on comlng from the D3mocrats. The de5peration Is paIpable. #De5picableDemocrats #FactsMatter #MSMediaLies #MAGA #Republicans2018  #Trump2020 #BigRedWave #BluePuddle @USER #POTUS **Follow/Like #USAGuard - @USER on Twitter** SHARE! URL	non-toxic
2019	@USER This is so fake he’s unable to feel trve feelings he even lies when he says anything and she is just @s stup1d in standing by a man who clearly doesn’t respect the unity of marriage while he was with her and pay these women off STAND UP DIVORCE LIKE HIS OTHER WIFES DID HES A PIG	toxic
2020	@USER @USER So is Fox News now campaigning for the fairness doctrine or is this just Republicans using the power of Congress to force private companies to broadcast whatever the gop says as truth? When will NRA TV have pro gun control NRA members on?	non-toxic
2021	@USER @USER Last tea party rally didn't look like the last antifa rally did it? Misfits and unsuccessful people is all that rally on left.	non-toxic
2022	@USER how? how is this in any way shape or form...	non-toxic
2023	@USER I thought this was SNL. The last guy is wearing a fucking beanie with the mindmill on itS	toxic
2024	@USER @USER   #thescore Happy Birthday Again!! Lucky Lovely Charm ka ng @USER @USER @USER @USER 💐💐💐👏👏👏👏 You Are Stunning!!🌹🌹🌹❤️❤️❤️ - HipHop ka minsan sa game ha?	non-toxic
2025	@USER Has this guy got @corns in his cheek5 or what. L4ck of walking around sen$e is astonishing with l1berals.	toxic
2026	@USER @USER #MSM has no respect left. They have really reached the point of being the #EOTP	non-toxic
2027	@USER @USER 93% NEGATIVE COVERAGE SAYS YOU ARE DELUSIONAL	non-toxic
2028	@USER @USER 1s 5o b1ased against conservatives‼️everione should drop google and use Bing or DuckDvckGo.	toxic
2029	@USER Call bullsh#t just poor losser	toxic
2030	@USER @USER I will never buy a magazine again URL	non-toxic
2031	@USER Degenerative behavior creeps onto our sovereignty and justice system	non-toxic
2032	@USER I love my wife Hannah ♥😊♥😊❤😊♥♡😍	non-toxic
2033	@USER @USER You don’t believe this is true fact and AC360 commentary on your tweet. Let say he is wrong in reference to Florence. But is he correct on you NOT visiting any  impacted areas. How long you will fool your base fans.  Grow up.	non-toxic
2034	@USER Happy dance that Serena lost. She needed taken down a notch or two.	non-toxic
2035	@USER You are not alone here. I didn't like The Last Jedi a bit more than Force Awakens. Cannot talk about Solo because didn't see it. But Rouge One is the other Star Wars under Disney that was good.	non-toxic
2036	@USER !maybe sh3 was fucking hvngry!!! No one knows what kind of home life sh3 has! My goodness  sh3 is a child and this officer <ould have handled this better. Sorry he n3eds to be fir3d	toxic
2037	@USER That @USER only report the Conservatives in a positive way	non-toxic
2038	#RINO Rauner has severely failed Illinois. Touting his “turn around agenda” he gave us nothing but his “turn coat agenda”. Illinois Conservatives not have one choice #VOTE @USER for State experience! URL	non-toxic
2039	@USER @USER and if there is 9un control in USA -wh() vvill 6e rounded and extermin4ted ??	toxic
2040	@USER @USER Sounds to me like the Pope needs counselled on confession.	non-toxic
2041	@USER There is shiva and she is not a boy. URL	non-toxic
2042	@USER @USER @USER @USER @USER Timing? They had this info in their laps? You betcha. THAT'S the chess game of politics. Nothing new here. Use things to your advantage when you need them. Doesn't make them untrue. 🤨	non-toxic
2043	@USER @USER She is flat out lying!	non-toxic
2044	@USER @USER So death tolls are determined by studies and computer programs?	non-toxic
2045	@USER I have you and Kaze- I need more.	non-toxic
2046	@USER @USER @USER @USER @USER He is complicit and took the money. He is going too !!!	non-toxic
2047	@USER @USER @USER @USER @USER @USER Oh and thanks for RTing my post!  #MAGA #KAG2018 yes we're gonna!	non-toxic
2048	@USER @USER Can't do that. BLM and Antifa morons will start looting	non-toxic
2049	@USER Interesting; my interpretation of the piece was that he was speaking tongue-in-cheek in relating his psychiatric condition to the gun qualifications to highlight the ironic and counter-intuitive nature of gun control laws. I thought it was a well balanced insider piece.	non-toxic
2050	@USER @USER ok with Andrew @USER Bully Liar touchy cheat to be kept on as a MP? On £75k? No anti bullying rules? URL … @USER @USER @USER @USER	non-toxic
2051	"3/ you simply gloss right over the silly emotional female, and her nothing problem. Then you delete this as you realize how horrible it is, (or perhaps someone told you), but somehow it is the fault of the liberals,"" who might misinterpret what you wrote in plain English."""	non-toxic
2052	@USER @USER @USER Misdrawed. Cause she is not white and blonde. Why he did that? Can you answer that?	non-toxic
2053	@USER B()no !s c1early a rac1st	toxic
2054	@USER @USER Yeah he is	non-toxic
2055	@USER Liberals ruin everything.	non-toxic
2056	@USER joan is playing 4 characters this season all the way up to episode 6 so far.. pretty sure she is a main	non-toxic
2057	@USER Oh my goodness she is so precious! Babies make everything better! Thank you for sharing 💕	non-toxic
2058	@USER You are doing copy paste of the tweets of south park twitter... There are something weird on here 🤔🤔🤔	non-toxic
2059	#Westminster @USER #Tories @USER @USER @USER @USER WTF is going wrong with #police these days 😒😠😠😠 URL	non-toxic
2060	"#stcshooting To the kn3ejerk people crylng for gun control"" after this shooting. We already HAVE very restrictive gun control. You just wan7 a b4n. It's a pity no one has politely explained to +hese criminals that they are supposed to obey the law."""	toxic
2061	@USER There she is looking wretched	non-toxic
2062	@USER The liberals responses to this great news is very telling!!!	non-toxic
2063	@USER @USER @USER You liberals live 6y double standards. Look at what you did to Monlca Lewinski. She was branded a liar and whore even after she produced the evidence. All because good ole Bill is a Demo[rat! Your all fuckin6 insane!	toxic
2064	#Neoliberalism has failed the #poor and #middleclass!  Is the People's Party of #Canada #liberal?  #Bernier #PPC #politics #government #cdnpoli #pnpcbc #populist #racist #racism #bigot #hw #polcan #pnpcbc #cpc #lpc #ndp URL Shared via the CBC News Android App	non-toxic
2065	@USER @USER @USER @USER @USER @USER @USER Don't shame your entire country.. You are not mad!	non-toxic
2066	@USER @USER She ls a p!ece of sh!t and I am not sorry for my bluntness. From now on I am going to say what I think whether bluntly {}r rudely!	toxic
2067	@USER @USER @USER @USER @USER @USER @USER @USER So you're saying Antifa should have never oppressed the Nazis... gotcha.	non-toxic
2068	@USER Animal is the operative word !	toxic
2069	@USER Can’t she app3al. ? This is all kinds 0f wr0ng . If I were ES@USER would 6eat the sh** out 0f h3r.	toxic
2070	"Black Female Democrats Call for Changes in Party""  URL #TCOT #MAGA #RedNationRising"""	non-toxic
2071	@USER For someone unqualified he seems to be doing a darned good job.	non-toxic
2072	@USER @USER @USER Are you aware +hat Hil1ary Clinton said she was go!ng to use Nuclear weapons against Russia. That was after she sold the 20% of our weapons fuel. She is a complete idi{}t.	toxic
2073	@USER YOU ARE SO CUTE 😭💕	non-toxic
2074	@USER Not according to the ECHR who said it was inhuman &amp; degrading treatment which is pretty awful in itself. So you are directing your comments at the wrong person.	non-toxic
2075	@USER It’s about time. A civilised nation needs tougher gun control. Man only backwards countries don’t	non-toxic
2076	@USER Dianne Feinstein disagrees. She effectively called the woman a liar	non-toxic
2077	@USER @USER @USER Time I’m really starting to h@te that word....she had all the time in the world to open her mou+h...really shvt vp about time! Enough of this l3ft....Liberals bull shit about time! You and she have no case! Actually time is what is Hurting her case!	toxic
2078	@USER @USER @USER The whole milk thing is a lie anyway. Not needed. Does weird things to humans. Save your money for your Labour membership. x	non-toxic
2079	15 concert goers massacred in Missouri with 9mm Ruger P89. The NRA calls gun control research 'unethical'.	non-toxic
2080	@USER @USER Gun control at its finest! 2A is the greatest!!  She was #MAGA	non-toxic
2081	@USER Fact is...It's up to us to vote Republican to make sure that doesn't happen!	non-toxic
2082	@USER @USER @USER @USER @USER @USER Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day	non-toxic
2083	@USER @USER [Eric opens the door and runs to the couch.] Fuck yeah.	non-toxic
2084	@USER Everything is more intense when grieving. Grief started for me as a child. So I totally get it. Many of your cyber friends got your back. Again every thing will@USER more intense. She is beautiful.	non-toxic
2085	@USER @USER Levi’s just came out in support of student gun control activists.  Now the Trumpers will be burning their jeans as well as their sneakers!	toxic
2086	@USER @USER @USER @USER Dont tell me she is at it again	non-toxic
2087	@USER Georgia University...iour ra<ism and utter l@ck of tolerance is showing. Higher education is apparently n0t iour goal.	toxic
2088	@USER @USER Yes it does. She should be made to resign.  #MAGA	non-toxic
2089	@USER @USER Corrvpt RHINO. G1ad h3 stepped down	toxic
2090	@USER Liberalism has being remarkable sucessful at taking over both sides of the political spectrum today's left are liberals (with emphasis on minority issues and welfare) and today's right are also mostly liberals (with emphasis on nationalism and anti immigration)	non-toxic
2091	@USER If you ain’t hyping me up like the nigga in the back ima have to throw the whole friend away	non-toxic
2092	"@USER @USER @USER You guys. You seriously don't me@n everyone right? There are good people here that don't like to bother with shit like that. Personally for me I want this shit to stop but our government app4rently is to fuckin6 stup1d with gun control. Arm teachers with gun5"" yes makes sense."""	toxic
2093	@USER @USER @USER @USER @USER @USER @USER What a 5tupid incomp3tent d3vious and tox1c PM! May haven't you forgotten 17.4 million voters? Betray vs at your peril! You are eroding faith in democracy + destroying Tory Party! You should go URL	non-toxic
2094	@USER 4chan trolling Antifa again?	non-toxic
2095	@USER Banned the NFL	non-toxic
